date,ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,density_mean,density_lower,density_upper,FAI
2024-01-15,0.0641278426462252,-0.2141508928367069,2.396437500204359,0.3316945646490369,-348.5325230189732,-0.051944579396929,1799.142857142857,1201.0,1814.571428571429,2001.142857142857,641.7142857142857,638.5714285714286,250.57142857142856,17004761.904761903,15814321.832340196,18195201.97718361,-0.07038221511393063
2024-01-16,0.0770193090346375,-0.2271703119788851,2.798793481928961,0.350384961281504,-349.9602312360491,-0.0507574842444488,1618.5714285714284,1041.0,1570.2857142857142,1794.5714285714284,523.8571428571429,560.2857142857142,197.28571428571428,15669047.61904762,14511050.02662314,16827045.211472098,-0.081136388176492
2024-01-17,0.0899107754230499,-0.2401897311210632,3.2011494636535645,0.3690753579139709,-351.387939453125,-0.0495703890919685,1438.0,881.0,1326.0,1588.0,406.0,482.0,144.0,14333333.333333334,13207778.220906088,15458888.44576058,-0.09540215901021344
2024-01-18,0.0088852988556027,-0.0005774339078925,0.0066163823939859,0.1328707933425903,1356.1588134765625,-0.004538404289633,8664.0,8654.0,8589.0,8743.0,6624.0,2312.0,1037.0,16166666.666666666,14781045.394056031,17552287.9392773,0.04363855629253163
2024-01-19,-0.0230538286268711,-0.01011205278337,0.0654959976673126,0.0903726890683174,561.3115844726562,0.0070295897312462,9240.0,9055.0,9541.0,9111.0,7554.0,5770.0,3236.0,14533333.333333334,13237491.504851,15829175.16181567,0.023822864283053215
2024-01-20,0.0122591946274042,0.0006400186102837,-0.0082781454548239,0.126334398984909,1323.820068359375,-0.004751419648528,8588.0,8599.0,8460.0,8670.0,6670.0,2484.0,1214.0,16783333.333333332,15183466.866683343,18383199.79998332,0.04248216627598755
2024-01-21,-0.0038104988634586,0.0047404062934219,-0.0479835495352745,0.0842214226722717,769.6602783203125,0.0034137461334466,8818.0,8902.0,8825.0,8758.0,7519.0,5630.0,3048.0,24050000.0,22406441.340667557,25693558.659332447,0.03194863840854351
2024-01-22,0.024241112172603604,-0.12259212850282591,1.2310829013586042,0.2185407777627309,340.53835042317706,-0.008580071230729468,6349.0,6147.333333333334,6310.666666666666,6340.666666666666,5086.0,3828.0,2076.6666666666665,21772222.222222224,20257697.451333098,23286746.99311135,0.020975515872006096
2024-01-23,0.052292723208665806,-0.24992466329907373,2.510149352252483,0.35286013285319007,-88.58357747395837,-0.020573888594905537,3880.0,3392.666666666667,3796.333333333333,3923.333333333333,2653.0,2026.0,1105.3333333333333,19494444.444444444,18108953.561998636,20879935.326890256,-0.006737425102361968
2024-01-24,0.080344334244728,-0.3772571980953216,3.7892158031463614,0.4871794879436493,-517.7055053710938,-0.0325677059590816,1411.0,638.0,1282.0,1506.0,220.0,224.0,134.0,17216666.666666668,15960209.672664177,18473123.66066916,-0.21265689150776587
2024-01-25,0.0611772704869508,-0.2515472886395097,2.53009800085177,0.333574897920092,-264.72025553385413,-0.0190999436502655,3556.0,3040.0,3314.333333333333,3578.6666666666665,2627.0,2387.6666666666665,1867.3333333333333,15822222.222222224,14774792.889558936,16869651.55488551,-0.02904439137326769
2024-01-26,0.0420102067291736,-0.1258373791836978,1.270980198557178,0.1799703078965346,-11.735005696614564,-0.0056321813414494,5701.0,5442.0,5346.666666666666,5651.333333333333,5034.0,4551.333333333333,3600.6666666666665,14427777.777777778,13589376.106453696,15266179.44910186,-0.0017521800514139327
2024-01-27,0.0228431429713964,-0.0001274697278859,0.0118623962625861,0.0263657178729772,241.250244140625,0.0078355809673666,7846.0,7844.0,7379.0,7724.0,7441.0,6715.0,5334.0,13033333.333333334,12403959.323348455,13662707.34331821,0.009242200136665192
2024-01-28,0.0047458088956773,-0.0036162215183139,0.0290522086434066,0.0364950960502028,260.9492492675781,0.0024317591451108,6439.0,6402.5,6289.0,6393.0,5980.0,5056.0,3894.5,11983333.333333334,11245490.039903108,12721176.62676356,0.01014369768828271
2024-01-29,-0.0133515251800417,-0.007104973308742,0.0462420210242271,0.0466244742274284,280.64825439453125,-0.002972062677145,5032.0,4961.0,5199.0,5062.0,4519.0,3397.0,2455.0,10933333.333333334,10087020.756457755,11779645.91020891,0.011572376056214738
2024-01-30,0.0138616636395454,0.0090965908020734,-0.1192861050367355,0.0324689149856567,388.4452209472656,-0.0073734000325202,7135.0,7266.0,7043.0,7241.0,6809.0,5938.0,4308.0,11716666.666666666,11398942.39766741,12034390.935665922,0.017379919661892354
2024-01-31,-0.0123922107741236,-0.001502716448158,0.0110978316515684,0.0701852217316627,606.9668579101562,0.0009820346022024,8664.0,8638.0,8864.0,8647.0,7505.0,5721.0,3211.0,12283333.333333334,11838058.985942377,12728607.680724291,0.023147584113492846
2024-02-01,0.0189596507698297,0.0028936581220477,-0.0461360998451709,0.1626249253749847,1229.1939697265625,-0.0068452022969722,8270.0,8318.0,8072.0,8384.0,5991.0,2778.0,1725.0,17050000.0,15440690.002930865,18659309.99706913,0.05502638306725727
2024-02-02,-0.0026328386738896,-0.0042742760851979,0.03928729519248,0.0513602830469608,400.2301635742188,0.0004197900998406,8341.0,8270.0,8378.0,8334.0,7462.0,6150.0,3907.0,14866666.666666666,13096386.487962993,16636946.84537034,0.015044290413255116
